Time,delta,AngRef,angVelref,Realized,Ref_diff
2.041847944,0.022019451,0.013461,-0.04577376,-0.011321055,-8.80E-05
2.05252099,0.021991149,0.013372,-0.0461048,-0.002830264,-8.90E-05
2.06237793,0.021821333,0.013283,-0.0461048,-0.016981582,-8.90E-05
2.072762966,0.021736425,0.013194,-0.045773084,-0.008490791,-8.90E-05
2.082811832,0.021708122,0.013104,-0.046107546,-0.002830264,-9.00E-05
2.093187809,0.021651517,0.013014,-0.046301394,-0.005660527,-9.00E-05
2.103259802,0.021538306,0.012924,-0.046211362,-0.011321055,-9.00E-05
2.113633871,0.021453398,0.012833,-0.046268664,-0.008490791,-9.10E-05
2.123904943,0.021368491,0.012743,-0.0463202,-0.008490791,-9.00E-05
2.134007931,0.021311885,0.012652,-0.046518917,-0.005660527,-9.10E-05
2.144378901,0.021142069,0.012562,-0.046146531,-0.016981582,-9.00E-05
2.154472828,0.021057162,0.012471,-0.046203002,-0.008490791,-9.10E-05
2.164946795,0.020887346,0.012381,-0.045830644,-0.016981582,-9.00E-05
2.174838781,0.020802438,0.01229,-0.045830644,-0.008490791,-9.10E-05
2.185334921,0.020745833,0.0122,-0.046080337,-0.005660527,-9.00E-05
2.195276976,0.020660925,0.01211,-0.046080337,-0.008490791,-9.00E-05
2.205651999,0.020462806,0.01202,-0.045616678,-0.019811846,-9.00E-05
2.215998888,0.020349596,0.01193,-0.045526235,-0.011321055,-9.00E-05
2.226042986,0.020208082,0.011841,-0.045289405,-0.014151318,-8.90E-05
2.236442804,0.020151477,0.011752,-0.045477558,-0.005660527,-8.90E-05
2.246493816,0.019981661,0.011663,-0.045098579,-0.016981582,-8.90E-05
2.256912947,0.019896753,0.011574,-0.045145069,-0.008490791,-8.90E-05
2.266943932,0.019783543,0.011486,-0.045043981,-0.011321055,-8.80E-05
2.27735877,0.01975524,0.011399,-0.045363562,-0.002830264,-8.70E-05
2.287399769,0.01964203,0.011311,-0.045262635,-0.011321055,-8.80E-05
2.297705889,0.019557122,0.011225,-0.045293857,-0.008490791,-8.60E-05
2.308197975,0.019443911,0.011138,-0.045188911,-0.011321055,-8.70E-05
2.318092823,0.019387306,0.011053,-0.045188911,-0.005660527,-8.50E-05
2.328500986,0.019359003,0.010967,-0.045670503,-0.002830264,-8.60E-05
2.338556767,0.019274095,0.010883,-0.045691306,-0.008490791,-8.40E-05
2.349176884,0.019132582,0.010799,-0.045430243,-0.014151318,-8.40E-05
2.358956814,0.018962766,0.010715,-0.045430243,-0.016981582,-8.40E-05
2.369856834,0.018934464,0.010632,-0.045326092,-0.002830264,-8.30E-05
2.379880905,0.018764648,0.01055,-0.045326092,-0.016981582,-8.20E-05
2.389938831,0.018594832,0.010469,-0.044491955,-0.016981582,-8.10E-05
2.400468826,0.018283503,0.010388,-0.043365235,-0.0311329,-8.10E-05
2.4103508,0.018255201,0.010308,-0.043365235,-0.002830264,-8.00E-05
2.420742989,0.018170293,0.010228,-0.043647527,-0.008490791,-8.00E-05
2.430806875,0.018057082,0.010149,-0.043500345,-0.011321055,-7.90E-05
2.441260815,0.017943872,0.010071,-0.043348989,-0.011321055,-7.80E-05
2.451313972,0.017830661,0.0099937,-0.043193067,-0.011321055,-7.73E-05
2.461619854,0.017802358,0.009917,-0.043459438,-0.002830264,-7.67E-05
2.47191596,0.01771745,0.009841,-0.043438788,-0.008490791,-7.60E-05
2.481971979,0.017660845,0.0097657,-0.043556515,-0.005660527,-7.53E-05
2.492374897,0.017575937,0.0096912,-0.043529093,-0.008490791,-7.45E-05
2.502400875,0.017519332,0.0096174,-0.043638838,-0.005660527,-7.38E-05
2.512816906,0.017434424,0.0095443,-0.043604459,-0.008490791,-7.31E-05
2.522868872,0.017377819,0.009472,-0.043706768,-0.005660527,-7.23E-05
2.533258915,0.017321214,0.0094004,-0.043806419,-0.005660527,-7.16E-05
2.543299913,0.017236306,0.0093295,-0.043760231,-0.008490791,-7.09E-05
2.553752899,0.017094792,0.0092594,-0.043427679,-0.014151318,-7.01E-05
2.564006805,0.017009885,0.0091899,-0.043374231,-0.008490791,-6.95E-05
2.574033976,0.016953279,0.0091212,-0.043458758,-0.005660527,-6.87E-05
2.584453821,0.016840069,0.0090533,-0.043256528,-0.011321055,-6.79E-05
2.594467878,0.016755161,0.008986,-0.043191866,-0.008490791,-6.73E-05
2.604867935,0.01664195,0.0089195,-0.04298237,-0.011321055,-6.65E-05
2.614916801,0.01652874,0.0088537,-0.042768474,-0.011321055,-6.58E-05
2.625301838,0.016472134,0.0087885,-0.042835376,-0.005660527,-6.52E-05
2.635372877,0.016302319,0.0087241,-0.042331205,-0.016981582,-6.44E-05
2.645685911,0.016189108,0.0086604,-0.042106934,-0.011321055,-6.37E-05
2.656087875,0.016075898,0.0085973,-0.041879685,-0.011321055,-6.31E-05
2.666084766,0.01599099,0.0085349,-0.041789545,-0.008490791,-6.24E-05
2.676478863,0.015906082,0.0084732,-0.041696678,-0.008490791,-6.17E-05
2.686529875,0.015821174,0.0084121,-0.041599986,-0.008490791,-6.11E-05
2.696945906,0.015764569,0.0083517,-0.041642141,-0.005660527,-6.04E-05
2.706995964,0.015651358,0.0082919,-0.041397242,-0.011321055,-5.98E-05
2.717358828,0.01556645,0.0082327,-0.041291518,-0.008490791,-5.92E-05
2.7274158,0.015396634,0.0081742,-0.040756744,-0.016981582,-5.85E-05
2.737874985,0.015311726,0.0081162,-0.040644763,-0.008490791,-5.80E-05
2.748458862,0.015226818,0.0080589,-0.040529459,-0.008490791,-5.73E-05
2.761795998,0.015085305,0.0080021,-0.040133539,-0.014151318,-5.68E-05
2.769148827,0.015000397,0.007946,-0.040133539,-0.008490791,-5.61E-05
